area_bucket,approval_rate,n
1k-5k,0.39303777281633023,21947
20k-100k,0.35066006600660066,3636
5k-20k,0.3810563526720732,9618
100k+,0.30602782071097373,1294
<1k,0.43216783216783217,4290
0,0.5385154393174695,211214
