borough,job_type,approval_rate,n
BROOKLYN,A1,0.35674193136879706,15678
BROOKLYN,A2,0.5828310799804528,30695
BROOKLYN,NB,0.42396861253120915,8411
BROOKLYN,SI,0.0,933
MANHATTAN,SC,0.0,184
BROOKLYN,SC,0.0,265
MANHATTAN,PA,0.49974696356275305,3952
MANHATTAN,SI,0.004739336492890996,211
MANHATTAN,A2,0.6095833990570833,57057
BROOKLYN,A3,0.36488205931290985,10217
MANHATTAN,NB,0.43554603854389723,2335
MANHATTAN,A3,0.6643202442540921,11791
MANHATTAN,A1,0.35550567107750475,8464
BROOKLYN,PA,0.546972049689441,2576
MANHATTAN,DM,1.0,1
